Ward_name,School_name
Hampstead Town,St Anthony's Preparatory School
Belsize,Hereward House School
Belsize,Hereward House School
Frognal and Fitzjohns,North Bridge House Pre-Prep School
Frognal and Fitzjohns,St Mary's School
Camden Town with Primrose Hill,The Cavendish School
Frognal and Fitzjohns,University College School
Frognal and Fitzjohns,University College School
Belsize,The Hall School
Belsize,The Hall School
Belsize,Sarum Hall School
Frognal and Fitzjohns,St Margaret's School
Frognal and Fitzjohns,St Margaret's School
Hampstead Town,St Christopher's School
Queenhithe,City of London School
Queenhithe,City of London School
Bread Street,St Paul's Cathedral School
Bread Street,St Paul's Cathedral School
Cripplegate,City of London School for Girls
Cripplegate,City of London School for Girls
Thames,Goresbrook School
Thames,Goresbrook School
Higham Hill,Eden Girls' School Waltham Forest
Bedford,Rutherford House School
Feltham North,Rivers Academy West London
South Bermondsey,City of London Academy (Southwark)
Leytonstone,Davies Lane Primary School
Hacton,Elm Park Primary School
Roxeth,Welldon Park Primary School
Eastbrook,Rush Green Primary School
Hans Town,Marlborough Primary School
Queensbridge,Holy Trinity Church of England Primary School
Stoke Newington Central,Princess May Primary School
Queensbridge,Queensbridge Primary School
De Beauvoir,De Beauvoir Primary School
Kilburn,St Mary's Kilburn Church of England Primary School
Marylebone High Street,Wetherby Senior School
Higham Hill,Big Creative Independent School
West Hendon,Beis Medrash Elyon
Southall Broadway,Ayesha Siddiqa Girls School
